time,open,high,low,close,Volume
1775715000,56075,56075,56060,56060,2
1775715060,56070,56070,56050,56070,19
1775715120,56065,56065,56060,56060,3
1775715240,56050,56050,56050,56050,1
1775715300,56030,56030,56010,56010,15
1775715360,56020,56020,56005,56005,5
1775715420,56025,56050,56025,56050,2
1775715480,56070,56075,56065,56065,7
1775715540,56065,56065,56040,56040,5
1775715600,56020,56020,56015,56015,9
1775715660,56025,56025,56025,56025,1
1775715780,55985,55995,55985,55995,2
1775715840,56010,56020,56010,56015,6
1775715900,56025,56045,56020,56045,14
1775715960,56050,56050,56050,56050,1
1775716020,56070,56100,56070,56085,16
1775716080,56070,56075,56070,56070,13
1775716140,56080,56100,56075,56100,16
1775716200,56100,56120,56010,56120,37
1775716260,56130,56450,56130,56300,241
1775716320,56290,56290,56195,56275,120
1775716380,56280,56295,56270,56275,6
1775716500,56255,56315,56255,56315,10
1775716560,56335,56335,56285,56285,16
1775716620,56280,56310,56265,56305,11
1775716680,56320,56325,56300,56305,10
1775716740,56295,56310,56290,56310,5
1775716800,56325,56340,56325,56330,4
1775716860,56300,56320,56285,56305,13
1775716920,56295,56305,56285,56305,9
1775716980,56315,56325,56300,56300,7
1775717040,56300,56300,56290,56300,15
1775717100,56300,56300,56205,56210,21
1775717160,56205,56230,56185,56185,21
1775717220,56165,56165,55950,55990,120
1775717280,56015,56050,55915,56025,50
1775717340,56070,56070,56060,56060,2
1775717400,56070,56100,56070,56085,7
1775717460,56060,56070,56060,56070,2
1775717520,56075,56075,56075,56075,1
1775717700,56140,56155,56140,56155,2
1775717880,56185,56210,56185,56210,4
1775717940,56210,56210,56210,56210,2
1775718000,56220,56230,56210,56210,6
1775718060,56195,56205,56195,56205,4
1775718120,56200,56200,56200,56200,1
1775718180,56170,56170,56170,56170,1
1775718240,56170,56170,56160,56160,3
1775718360,56150,56150,56150,56150,1
1775718480,56135,56135,56135,56135,1
1775718600,56100,56100,56095,56100,4
1775718660,56090,56090,56090,56090,2
1775718780,56085,56085,56050,56060,24
1775718840,56080,56080,56075,56075,3
1775718900,56045,56045,56035,56040,4
1775718960,56020,56025,56000,56000,8
1775719020,56000,56000,56000,56000,2
1775719080,55950,55950,55950,55950,1
1775719140,56000,56000,56000,56000,1
1775719260,55960,55960,55960,55960,1
1775719320,55950,55950,55920,55925,5
1775719440,55980,55980,55980,55980,1
1775719500,55970,55970,55970,55970,1
1775719560,55965,55965,55965,55965,1
1775719620,55965,55965,55960,55960,2
1775719680,55935,55935,55925,55925,4
1775719740,55935,55935,55930,55930,5
1775719920,55900,55905,55900,55905,5
1775719980,55905,55930,55905,55930,3
1775720040,55950,55950,55950,55950,5
1775720160,55930,55930,55930,55930,1
1775720220,55960,55960,55930,55930,5
1775720400,55905,55905,55875,55880,9
1775720460,55875,55875,55875,55875,1
1775720520,55850,55850,55850,55850,1
1775720640,55855,55855,55855,55855,1
1775720700,55840,55840,55840,55840,2
1775720760,55840,55840,55800,55800,2
1775720820,55795,55805,55795,55805,3
1775720880,55825,55850,55825,55840,11
1775720940,55845,55845,55835,55835,6
1775721000,55830,55830,55830,55830,2
1775721300,55880,55910,55880,55910,2
1775721420,55870,55870,55870,55870,1
1775721480,55895,55895,55895,55895,2
1775721540,55900,55910,55900,55900,3
1775721600,55910,55990,55900,55970,47
1775721660,55960,55960,55930,55930,5
1775721720,55935,55935,55910,55930,7
1775721780,55970,55980,55970,55980,7
1775721900,55990,55990,55990,55990,1
1775721960,55980,55980,55980,55980,1
1775722140,55950,55960,55935,55960,4
1775722260,55900,55910,55870,55875,6
1775722320,55885,55895,55865,55865,7
1775722380,55875,55875,55835,55845,6
1775722440,55815,55815,55815,55815,2
1775722500,55790,55790,55790,55790,2
1775722560,55815,55815,55795,55795,3
1775722800,55885,55900,55885,55900,2
1775723040,55945,55945,55945,55945,1
1775723100,55940,55940,55940,55940,1
1775723160,55920,55920,55915,55915,19
1775723220,55915,55915,55915,55915,1
1775723280,55905,55905,55905,55905,1
1775723400,55905,55935,55905,55935,2
1775723460,55930,55930,55930,55930,2
1775723520,55970,55975,55970,55975,2
1775723700,55990,55995,55990,55995,3
1775723880,56015,56035,56015,56035,42
1775724180,56045,56045,56040,56040,2
1775724240,56075,56075,56070,56070,3
1775724300,56080,56095,56080,56090,7
1775724360,56090,56090,56090,56090,1
1775724420,56080,56080,56080,56080,2
1775724780,56030,56030,56030,56030,2
1775724840,56005,56005,56005,56005,1
1775724960,56005,56005,56005,56005,1
1775725020,55995,55995,55950,55950,12
1775725140,55945,55945,55940,55940,2
1775725200,55910,55920,55910,55920,2
1775725320,55935,55935,55935,55935,1
1775725440,55940,55945,55925,55945,32
1775725680,55990,55990,55990,55990,1
1775725860,56015,56015,56015,56015,1
1775725920,56005,56005,56005,56005,1
1775725980,56005,56010,56005,56010,10
1775726220,56025,56025,56025,56025,1
1775726280,56030,56060,56020,56060,7
1775726520,56060,56060,56060,56060,1
1775726580,56045,56045,56045,56045,1
1775727000,56060,56060,56050,56060,11
1775727180,56080,56080,56080,56080,1
1775727480,56025,56025,56025,56025,2
1775728140,56050,56050,56050,56050,1
1775728200,56040,56040,56040,56040,1
1775728740,56070,56085,56070,56085,3
1775728800,56080,56080,56080,56080,1
1775728920,56105,56105,56105,56105,1
1775728980,56070,56070,56070,56070,1
1775729040,56060,56060,56060,56060,1
1775729100,56035,56035,56035,56035,1
1775729400,56075,56075,56075,56075,1
1775729760,56035,56035,56025,56025,2
1775729820,56050,56050,56035,56040,51
1775729880,56055,56055,56055,56055,1
1775730000,56065,56065,56065,56065,2
1775730060,56085,56090,56085,56090,3
1775730600,56100,56100,56100,56100,1
1775731020,56055,56055,56055,56055,1
1775731380,56065,56065,56065,56065,5
1775731560,56080,56080,56080,56080,1
1775731620,56085,56085,56080,56080,2
1775731800,56095,56095,56095,56095,1
1775731860,56040,56040,56025,56035,7
1775731920,56090,56090,56090,56090,1
1775732100,56055,56055,56055,56055,2
1775732160,56050,56060,56050,56060,3
1775732280,56030,56030,56030,56030,1
1775732340,55990,55990,55990,55990,1
1775732400,55970,55985,55970,55985,3
1775732460,56010,56010,56010,56010,1
1775732520,55985,55985,55985,55985,2
1775732640,55970,55970,55970,55970,2
1775732700,55970,55975,55970,55975,2
1775732760,55960,55960,55960,55960,1
1775732940,55990,55990,55990,55990,1
1775733000,55955,55955,55940,55950,12
1775733060,55950,55950,55945,55945,2
1775733600,55940,55940,55940,55940,1
1775733660,55950,55950,55950,55950,6
1775733720,55970,55970,55970,55970,1
1775733900,55965,55965,55965,55965,1
1775734200,56005,56005,56005,56005,1
1775734320,55995,56000,55980,55980,6
1775734500,56000,56000,56000,56000,1
1775734680,56045,56045,56040,56040,3
1775734740,56065,56065,56065,56065,1
1775734800,56110,56110,56110,56110,1
1775734860,56080,56080,56080,56080,1
1775734980,56070,56070,56065,56070,5
1775735100,56110,56110,56110,56110,1
1775735160,56110,56110,56110,56110,1
1775735220,56120,56140,56120,56140,4
1775735400,56115,56115,56110,56110,2
1775735460,56110,56110,56110,56110,1
1775735520,56110,56110,56095,56095,3
1775735580,56095,56095,56095,56095,1
1775735700,56120,56125,56110,56110,3
1775735760,56100,56100,56100,56100,1
1775735880,56130,56130,56130,56130,1
1775736060,56145,56145,56145,56145,1
1775736120,56150,56150,56150,56150,1
1775736180,56135,56135,56120,56120,3
1775736480,56150,56150,56150,56150,1
1775736660,56165,56165,56150,56150,3
