time,open,high,low,close,Volume
1777060860,7195.5,7196.5,7194.5,7194.75,2245
1777060920,7194.75,7195.75,7194.5,7195.25,1349
1777060980,7195,7195.5,7194.75,7195.25,1010
1777061040,7195.25,7196,7195,7195.75,1225
1777061100,7195.75,7197.25,7194.75,7197,1686
1777061160,7197,7197,7195.25,7195.25,1107
1777061220,7195.25,7195.75,7190.75,7194.5,4378
1777061280,7194.5,7194.75,7193.5,7193.75,638
1777061340,7193.75,7194,7192.75,7193.5,857
1777061400,7193.5,7193.75,7192,7192,1007
1777061460,7192,7192.75,7191.75,7192.25,1109
1777061520,7192.5,7192.5,7191.75,7192.25,527
1777061580,7192,7192.75,7191.75,7192,702
1777061640,7192.25,7193.75,7191.75,7192.5,1248
1777061700,7192.5,7193,7192.25,7192.75,374
1777061760,7193,7193.5,7192.75,7193.25,185
1777061820,7193.25,7193.25,7192.75,7192.75,291
1777061880,7193,7193,7192,7192.25,379
1777061940,7192.25,7192.5,7192.25,7192.5,206
1777062000,7192.5,7193.25,7192.5,7193.25,298
1777062060,7193.25,7194,7193,7193.25,328
1777062120,7193.5,7194.5,7193.5,7194.5,367
1777062180,7194.5,7194.5,7193.75,7193.75,251
1777062240,7194,7194,7193,7193,400
1777062300,7193.25,7193.5,7191.75,7192.25,433
1777062360,7192.25,7192.25,7190,7191,1186
1777062420,7191,7191.25,7190.5,7190.75,299
1777062480,7190.75,7191.75,7190.5,7191.5,664
1777062540,7191.5,7191.75,7190,7190.75,656
1777062600,7191,7192.5,7190.75,7192,290
1777062660,7192,7193.75,7192,7193.25,439
1777062720,7193.25,7194.75,7193.25,7194,451
1777062780,7194.25,7195.25,7194,7195.25,543
1777062840,7195.25,7195.5,7195,7195,180
1777062900,7195,7195.25,7194.75,7194.75,221
1777062960,7194.75,7195.75,7194.75,7195.25,213
1777063020,7195.25,7195.25,7195,7195.25,517
1777063080,7195.25,7195.25,7195,7195,207
1777063140,7195,7195,7194,7194,406
1777063200,7194.25,7194.75,7193.75,7194.75,149
1777063260,7194.75,7195,7194.5,7195,115
1777063320,7194.75,7194.75,7194.5,7194.75,133
1777063380,7194.5,7194.75,7194.5,7194.5,265
